allcode,0to12,13to18,19to25,26to40,41to60,61to90,,code,0to12,13to18,19to25,26to40,41to60,61to90,,age0to12,age13to18,age19to25,age26to40,age41to60,age61to90
E02002500,1002,434,670,1249,1498,1018,,E02000416,1152,463,585,2595,1961,990,,0.210787353,0.282418457,0.082175371,0.277082698,0.308420057,0.227032386
E02002501,944,416,532,1039,1432,889,,E02000417,951,370,396,1949,1686,1096,,0.148481091,0.208432776,0.036895065,0.178516936,0.221696626,0.262062128
E02002502,1798,751,921,1504,2642,1951,,E02000418,912,336,282,1385,1730,1038,,0.136391816,0.181384248,0.009583134,0.092462618,0.235572375,0.242894911
E02002503,1363,600,694,1328,1708,1052,,E02000419,1186,387,1041,3654,1809,857,,0.22132672,0.221957041,0.191423095,0.438663412,0.260485651,0.183079974
E02002504,1746,716,1064,2117,2524,1740,,E02000420,1286,521,761,2304,1999,940,,0.252324861,0.328560064,0.12434116,0.232682331,0.320403658,0.210508923
E02002505,1352,528,686,1134,1584,979,,E02000421,1196,510,814,2173,1803,809,,0.224426534,0.319809069,0.137038812,0.212694538,0.258593504,0.167217449
E02002506,1171,473,630,1043,1499,1055,,E02000422,1350,582,849,2629,1841,954,,0.27216367,0.377088305,0.145424054,0.282270369,0.270577105,0.215135492
E02002507,833,447,587,1052,1690,1461,,E02000423,892,279,1031,2967,1527,750,,0.130192188,0.136038186,0.189027312,0.333841929,0.171554715,0.147719762
E02002508,694,356,415,698,1401,1513,,E02000424,1083,452,590,2380,2064,794,,0.189398636,0.273667462,0.083373263,0.244278303,0.340901924,0.16226041
E02002509,932,371,500,891,1513,1279,,E02000425,2446,791,526,1867,1288,684,,0.611903286,0.5433572,0.068040249,0.166005493,0.096184169,0.12590879
E02002510,617,300,479,765,1552,1873,,E02000426,911,356,370,1632,1684,1328,,0.136081835,0.197295147,0.030666028,0.130149527,0.22106591,0.338730998
E02002512,652,392,349,717,1613,1475,,E02000427,860,250,880,2969,1587,683,,0.120272784,0.112967383,0.152850982,0.334147086,0.19047619,0.125578321
E02002513,1568,638,750,1553,2299,2135,,E02000428,1255,568,931,2418,1796,793,,0.242715437,0.365950676,0.165069478,0.250076289,0.256385998,0.161929941
E02002514,1295,617,730,1512,2736,1920,,E02000429,1086,314,359,2188,1957,1172,,0.19032858,0.163882259,0.028030666,0.214983216,0.307158625,0.287177792
E02006811,1283,680,705,1413,2781,2904,,E02000430,899,314,461,3096,1924,877,,0.132362058,0.163882259,0.052467657,0.353524565,0.296751813,0.189689359
E06000057,42233,21184,22032,49013,92539,88986,,E02000431,845,293,437,2367,1468,892,,0.115623063,0.147175815,0.046717777,0.242294782,0.152948597,0.194646398
E02005706,1442,584,787,1727,2489,2649,,E02000432,781,300,545,2771,1554,714,,0.095784253,0.15274463,0.072592238,0.303936527,0.180069379,0.135822868
E02005707,785,449,316,860,2005,2519,,E02006794,1694,691,701,2141,1913,849,,0.378797272,0.463802705,0.109966459,0.207812023,0.293282876,0.180436219
E02005708,1061,562,589,1264,3091,3919,,E02000554,1579,594,898,2903,2336,1149,,0.343149411,0.386634845,0.157163392,0.3240769,0.426679281,0.279576999
E02005702,741,433,459,874,1872,2112,,E02000555,1513,623,1029,2841,2259,1269,,0.322690639,0.409705648,0.188548155,0.314617028,0.40239672,0.319233311
E02005703,841,444,494,1097,1946,1871,,E02000556,1374,511,1186,3608,2467,1085,,0.279603224,0.320604614,0.226161955,0.431644797,0.46799117,0.258426966
E02005704,1472,791,787,1540,3849,3801,,E02000557,1122,408,885,2653,2033,1232,,0.201487911,0.238663484,0.154048874,0.285932255,0.331125828,0.307005948
E02005705,809,450,314,842,2422,2679,,E02000558,1927,669,1162,2724,2083,1133,,0.451022939,0.446300716,0.220412075,0.296765334,0.346893724,0.274289491
E02005720,1451,722,1056,2434,3501,3015,,E02000559,1454,436,984,3892,2028,931,,0.304401736,0.260938743,0.17776713,0.474977113,0.329549038,0.207534699
E02005734,938,409,491,1003,1663,1707,,E02000560,819,304,1451,2890,1539,753,,0.107563546,0.15592681,0.289650216,0.322093378,0.17533901,0.14871117
E02005735,1332,545,813,1551,2102,1539,,E02000561,1042,399,1105,2455,1954,1059,,0.176689399,0.23150358,0.206756109,0.255721697,0.306212551,0.249834765
E02005721,761,337,340,914,1658,1304,,E02000562,1271,484,760,2886,1938,1090,,0.247675139,0.299124901,0.124101581,0.321483064,0.301166824,0.260079313
E02005737,911,489,534,1155,2126,1942,,E02000563,1168,472,1217,2698,2050,1012,,0.215747055,0.289578361,0.233588884,0.292798291,0.336486913,0.23430271
E02005736,1236,580,677,1456,2062,1670,,E02000564,1346,508,1571,4953,2148,976,,0.270923745,0.318217979,0.318399617,0.636862984,0.36739199,0.222405816
E02005738,615,337,350,812,1578,1297,,E02000565,1402,497,950,3013,1881,871,,0.288282703,0.309466985,0.169621466,0.340860543,0.283191422,0.187706543
E02005722,870,569,318,781,2488,2082,,E02000566,1197,408,792,3360,2049,1017,,0.224736516,0.238663484,0.131768088,0.39380531,0.336171555,0.235955056
E02005723,770,396,373,998,1776,2007,,E02000567,1507,484,1055,4466,2516,1190,,0.32083075,0.299124901,0.194777192,0.562557217,0.483443709,0.293126239
E02005739,1338,611,633,1560,2708,2594,,E02000568,1375,791,2451,3489,2073,1171,,0.279913205,0.5433572,0.529228558,0.413487946,0.343740145,0.286847323
E02005724,771,463,303,710,1907,2106,,E02000569,1409,548,1021,3740,2453,1366,,0.290452573,0.350039777,0.186631529,0.451785169,0.463576159,0.35128883
E02005727,742,318,376,810,2075,1951,,E02000570,1083,389,974,3568,2089,1168,,0.189398636,0.22354813,0.175371346,0.425541654,0.348785872,0.285855915
E02005740,1567,679,857,1896,2835,2419,,E02000571,1066,485,906,2894,1994,1101,,0.184128952,0.299920446,0.159080019,0.322703692,0.318826868,0.263714475
E02005741,1108,612,584,1238,2626,2176,,E02000572,1343,621,1710,2324,1717,1089,,0.2699938,0.408114558,0.351701006,0.235733903,0.231472722,0.259748843
E02005709,1255,564,673,1190,1711,1405,,E02000573,1026,327,1201,3611,2049,1160,,0.171729696,0.174224344,0.22975563,0.432102533,0.336171555,0.283212161
E02005710,1158,500,696,1717,2363,2021,,E02000574,902,347,1838,2916,2009,989,,0.133292002,0.190135243,0.382367034,0.326060421,0.323557237,0.226701917
E02005711,1373,697,638,1380,2125,2161,,E02000575,1250,557,3172,4467,2727,1155,,0.24116553,0.357199682,0.701964542,0.562709796,0.549984232,0.281559815
E02005712,1164,524,660,1348,2000,1452,,E02000576,1535,626,2045,3426,2213,1121,,0.329510229,0.412092283,0.431959751,0.403875496,0.387890255,0.27032386
E02005713,888,418,451,1079,2088,1735,,E02000577,1126,568,567,1780,1932,1143,,0.202727836,0.365950676,0.077862961,0.152731157,0.299274677,0.277594184
E02005714,850,447,298,753,1938,985,,E02000578,1015,482,444,1286,1643,962,,0.168319901,0.297533811,0.048394825,0.077357339,0.208136235,0.217779247
E02005716,1312,571,641,1704,2520,2021,,E02000579,1336,474,551,2259,2370,1365,,0.267823931,0.291169451,0.074029708,0.225816295,0.437401451,0.350958361
E02005715,1418,607,721,1618,2149,2155,,E02000580,1001,421,560,2659,2269,1269,,0.163980161,0.249005569,0.076185913,0.286847727,0.4055503,0.319233311
E02005717,906,437,470,1183,2255,2600,,E02000581,1191,559,495,1561,1889,1456,,0.222876627,0.358790772,0.060613321,0.119316448,0.285714286,0.381031064
E02005718,640,353,441,939,1786,2305,,E02000582,869,253,548,2478,1740,1259,,0.123062616,0.115354018,0.073310973,0.259231004,0.238725954,0.315928619
E02005719,945,572,627,1453,2263,1936,,E02000583,1005,356,404,1918,1963,1292,,0.165220087,0.197295147,0.038811691,0.173787,0.309050773,0.326834104
E02005725,778,468,364,798,1890,2345,,E02000584,1293,264,447,2067,2004,1489,,0.25449473,0.124105012,0.04911356,0.196521208,0.321980448,0.39193655
E02005726,972,565,545,887,2289,2477,,E02000585,1291,419,515,2309,2276,1442,,0.253874768,0.247414479,0.065404887,0.233445224,0.407757805,0.376404494
E02005730,1673,872,918,1793,3825,3942,,E02000586,1046,323,790,2135,1868,1157,,0.177929324,0.171042164,0.131288931,0.206896552,0.279091769,0.282220753
E02005729,752,422,261,714,1843,1638,,E02000587,1092,339,497,1914,1936,1424,,0.192188469,0.183770883,0.061092477,0.173176686,0.300536108,0.370456048
E02005728,845,453,445,945,2116,2242,,E02000588,917,263,711,2427,2209,1557,,0.137941723,0.123309467,0.112362242,0.251449496,0.386628824,0.41440846
E02005731,1669,812,788,1843,3257,2477,,E02000589,961,303,1384,2885,1819,1007,,0.151580905,0.155131265,0.273598467,0.321330485,0.263639231,0.232650364
E02005732,1064,557,447,1156,2704,3241,,E02000590,783,325,694,1860,1975,1540,,0.096404216,0.172633254,0.108289411,0.164937443,0.312835068,0.408790482
E02005733,1010,565,497,991,2638,2489,,E02000591,685,255,715,2226,1650,1037,,0.066026038,0.116945107,0.113320556,0.220781202,0.21034374,0.242564442
